,Integral Bipartite OMD 𝜂=0.015517556536555207,Integral Bipartite OMD 𝜂=0.01,Integral Bipartite OMD 𝜂=0.05,Integral Bipartite OMD 𝜂=0.1,Integral Bipartite OMD 𝜂=0.15,Integral Bipartite OMD 𝜂=0.2,Integral Bipartite OMD 𝜂=0.25,Optimal Static Cache
2400,0.8032069970845481,0.8296543107038734,0.7709287796751354,0.7607246980424823,0.7334443981674302,0.7392753019575177,0.7324031653477717,0.8919200333194502
2401,0.8032889258950874,0.8297252289758534,0.7706078268109908,0.7606161532056619,0.7335553705245629,0.7393838467943381,0.7325145711906744,0.8919650291423813
2402,0.8031627132750728,0.8297960882230545,0.770495214315439,0.760507698709946,0.7336662505201831,0.739284228048273,0.7324178110694964,0.8920099875156055
2403,0.8032445923460898,0.8298668885191348,0.7703826955074875,0.7601913477537438,0.7335690515806988,0.7393926788685524,0.7323211314475874,0.8920549084858569
2404,0.8031185031185031,0.82993762993763,0.7704781704781705,0.7602910602910603,0.7336798336798337,0.7392931392931393,0.7322245322245322,0.8918918918918919
2405,0.8032003325020781,0.8300083125519534,0.770573566084788,0.7603906899418121,0.733790523690773,0.7391936824605154,0.7323358270989194,0.8919368246051538
2406,0.8032820938928126,0.8300789364353968,0.7706688824262568,0.7604902368093062,0.7339011217282925,0.7393020357291233,0.7324470294972996,0.8917739925218113
2407,0.803156146179402,0.8301495016611296,0.770764119601329,0.7603820598006644,0.7338039867109635,0.739202657807309,0.7323504983388704,0.8918189368770764
2408,0.8032378580323786,0.8300124533001245,0.7708592777085927,0.7602739726027398,0.7337069323370693,0.7388958073889581,0.7322540473225405,0.8918638439186385
2409,0.8031120331950208,0.8300829875518673,0.770746887966805,0.7603734439834025,0.733609958506224,0.7390041493775934,0.7323651452282157,0.8919087136929461
2410,0.8027789299046039,0.8301534632932394,0.7706345914558275,0.7602654500207383,0.7333056822895064,0.7389050186644546,0.7322687681459975,0.8919535462463708
2411,0.802860696517413,0.8302238805970149,0.7707296849087893,0.7603648424543947,0.7332089552238806,0.7390132669983416,0.7321724709784412,0.8919983416252073
2412,0.8029423953584749,0.8302942395358475,0.7708246995441359,0.7604641525072524,0.7333195192706174,0.7391214256112723,0.7320762536261914,0.8918358889349358
2413,0.8030240265120132,0.8303645401822701,0.7709196354598177,0.7605633802816901,0.7332228666114333,0.7392294946147473,0.7321872410936205,0.891880695940348
2414,0.8028985507246377,0.8300207039337474,0.770600414078675,0.7606625258799172,0.7331262939958593,0.7393374741200828,0.7320910973084886,0.8919254658385093
2415,0.8029801324503312,0.8300910596026491,0.7704884105960265,0.7607615894039735,0.7332367549668874,0.7392384105960265,0.7322019867549668,0.8917632450331126
2416,0.8030616466694249,0.8301613570541995,0.7703764997931319,0.7604468349193215,0.7331402565163426,0.7393462970624741,0.732312784443525,0.8918080264791063
2417,0.8031430934656741,0.8302315963606286,0.7702646815550042,0.7603391232423491,0.7330438378825476,0.739247311827957,0.7322167080231596,0.891645988420182
2418,0.8030177759404713,0.8303017775940471,0.7701529557668458,0.7600248036378668,0.732740801984291,0.7391484084332369,0.7319140140553948,0.8916907813145928
2419,0.802892561983471,0.8303719008264463,0.7702479338842976,0.7597107438016529,0.7326446280991735,0.7390495867768595,0.7316115702479339,0.8917355371900827
2420,0.8029739776951673,0.8304419661296985,0.7701363073110284,0.7598099958694754,0.7327550598926064,0.7391573729863693,0.7317224287484511,0.8917802560925238
2421,0.8028488852188275,0.8305119735755574,0.7700247729149463,0.7597027250206441,0.7326589595375722,0.7388521882741536,0.731626754748142,0.8916184971098265
2422,0.8027238959966984,0.8305819232356583,0.7701196863392489,0.7595955427156418,0.7323565827486587,0.7387536112257532,0.7315311597193561,0.8916632274040446
2423,0.8028052805280528,0.8304455445544554,0.7700082508250825,0.7594884488448845,0.73246699669967,0.7386551155115512,0.7316419141914191,0.8917079207920792
2424,0.8028865979381443,0.8303092783505155,0.7701030927835052,0.7591752577319587,0.7323711340206186,0.7385567010309279,0.7315463917525773,0.8915463917525773
2425,0.8029678483099753,0.8303792250618302,0.7699917559769167,0.7590684253915911,0.7324814509480626,0.7384583676834295,0.7316570486397362,0.8915910964550701
2426,0.8028430160692213,0.8304491141326741,0.7700865265760197,0.7587556654305727,0.7323856613102596,0.738360115368768,0.7315615986814998,0.8916357643180882
2427,0.8029242174629324,0.8305189456342669,0.770181219110379,0.7588550247116969,0.7322899505766063,0.7382619439868204,0.7314662273476112,0.8916803953871499
2428,0.8030053519967064,0.8303828736105393,0.7702758336764101,0.7589543021819679,0.73219431864965,0.7383696994648004,0.731576780568135,0.891519143680527
2429,0.802880658436214,0.8304526748971194,0.7701646090534979,0.7590534979423869,0.7323045267489712,0.7382716049382716,0.731687242798354,0.8915637860082305
2430,0.8029617441382148,0.830316742081448,0.7702591526120938,0.7587412587412588,0.7320032908268203,0.7379679144385026,0.7313862607980255,0.8916083916083916
2431,0.8028371710526315,0.8301809210526315,0.7701480263157895,0.7586348684210527,0.7319078947368421,0.7378700657894737,0.7312911184210527,0.8916529605263158
2432,0.8029182079736951,0.8302507192766132,0.7700369913686806,0.758734073160707,0.7320180846691328,0.7377722975750103,0.7314015618577887,0.8916974928072339
2433,0.802999178307313,0.830115036976171,0.7701314708299096,0.7584223500410846,0.7319227608874281,0.7376746096959738,0.7313064913722268,0.8915365653245686
2434,0.8030800821355236,0.8299794661190965,0.7702258726899384,0.7585215605749487,0.7320328542094456,0.737782340862423,0.731211498973306,0.8913757700205339
2435,0.8031609195402298,0.8300492610837439,0.770320197044335,0.7586206896551724,0.7319376026272578,0.7378899835796388,0.7311165845648604,0.8914203612479474
2436,0.8032416906032006,0.8299138284776364,0.7702092736971686,0.7585145670906853,0.7318424292162495,0.7375871973738203,0.7310217480508823,0.8912597455888387
2437,0.8033223954060705,0.8299835931091059,0.7700984413453651,0.7584085315832649,0.7317473338802297,0.7376948318293683,0.7309269893355209,0.8913043478260869
2438,0.8034030340303403,0.8300533005330053,0.7699876998769988,0.7585075850758508,0.7318573185731857,0.7378023780237802,0.7310373103731037,0.8913489134891349
2439,0.8030737704918033,0.8301229508196721,0.7698770491803278,0.7586065573770492,0.7317622950819672,0.7379098360655738,0.7311475409836066,0.8913934426229508
2440,0.8029496108152396,0.8301925440393282,0.7699713232281852,0.7587054485866448,0.7318721835313396,0.7380172060630888,0.7312576812781647,0.8912331011880377
