,Integral Bipartite OMD,Naive Bipartite LFU,Naive Bipartite OMD,Optimal Static Cache
106,0.8598130841121495,1.0,0.9205607476635514,0.897196261682243
107,0.8611111111111112,1.0,0.9212962962962963,0.8981481481481481
108,0.8623853211009175,1.0,0.9220183486238532,0.8990825688073395
109,0.8636363636363636,1.0,0.9227272727272727,0.8909090909090909
110,0.8648648648648649,1.0,0.9234234234234234,0.8918918918918919
111,0.8660714285714286,1.0,0.9241071428571429,0.8928571428571429
112,0.8672566371681416,1.0,0.9247787610619469,0.8938053097345132
113,0.868421052631579,1.0,0.9254385964912281,0.8947368421052632
114,0.8608695652173913,1.0,0.9260869565217391,0.8956521739130435
115,0.8620689655172413,1.0,0.9267241379310345,0.896551724137931
116,0.8632478632478633,1.0,0.9273504273504274,0.8888888888888888
117,0.864406779661017,1.0,0.9279661016949152,0.8898305084745762
118,0.865546218487395,1.0,0.9201680672268907,0.8907563025210085
119,0.8666666666666667,1.0,0.9166666666666666,0.8916666666666667
120,0.8677685950413223,1.0,0.9173553719008265,0.8925619834710744
121,0.8688524590163934,1.0,0.9180327868852459,0.8934426229508197
122,0.8699186991869918,1.0,0.9186991869918699,0.8943089430894309
123,0.8709677419354839,1.0,0.9193548387096774,0.8951612903225806
124,0.872,1.0,0.92,0.896
125,0.8650793650793651,1.0,0.9126984126984127,0.8968253968253969
126,0.8661417322834646,1.0,0.9133858267716536,0.8976377952755905
127,0.8671875,1.0,0.9140625,0.8984375
128,0.8682170542635659,1.0,0.9147286821705426,0.8992248062015504
129,0.8692307692307693,1.0,0.9153846153846154,0.8923076923076924
130,0.8702290076335878,1.0,0.916030534351145,0.8931297709923665
131,0.8712121212121212,1.0,0.9166666666666666,0.8939393939393939
132,0.8721804511278195,1.0,0.9172932330827067,0.8947368421052632
133,0.8731343283582089,1.0,0.917910447761194,0.8955223880597015
134,0.8666666666666667,1.0,0.9185185185185185,0.8962962962962963
135,0.8676470588235294,1.0,0.9191176470588235,0.8970588235294118
136,0.8686131386861314,1.0,0.9197080291970803,0.8905109489051095
137,0.8695652173913043,1.0,0.9202898550724637,0.8913043478260869
138,0.8705035971223022,1.0,0.920863309352518,0.8920863309352518
139,0.8714285714285714,1.0,0.9214285714285714,0.8928571428571429
140,0.8723404255319149,1.0,0.9148936170212766,0.8936170212765957
141,0.8732394366197183,1.0,0.9154929577464789,0.8943661971830986
142,0.8741258741258742,1.0,0.916083916083916,0.8951048951048951
143,0.875,1.0,0.9166666666666666,0.8958333333333334
144,0.8758620689655172,1.0,0.9172413793103448,0.896551724137931
145,0.8698630136986302,1.0,0.9178082191780822,0.8972602739726028
146,0.8707482993197279,1.0,0.9183673469387755,0.8979591836734694
147,0.8716216216216216,1.0,0.918918918918919,0.8986486486486487
148,0.87248322147651,1.0,0.9194630872483222,0.8993288590604027
149,0.8733333333333333,1.0,0.9133333333333333,0.8933333333333333
150,0.8741721854304636,1.0,0.9139072847682119,0.8940397350993378
151,0.875,1.0,0.9144736842105263,0.8947368421052632
152,0.8758169934640523,1.0,0.9117647058823529,0.8954248366013072
153,0.8766233766233766,1.0,0.9123376623376623,0.8961038961038961
154,0.8709677419354839,1.0,0.9129032258064517,0.896774193548387
155,0.8717948717948718,1.0,0.9134615384615384,0.8974358974358975
156,0.8726114649681529,1.0,0.9140127388535032,0.89171974522293
157,0.8734177215189873,1.0,0.9145569620253164,0.8924050632911392
158,0.8742138364779874,1.0,0.9150943396226415,0.8930817610062893
159,0.875,1.0,0.915625,0.89375
160,0.8757763975155279,1.0,0.9161490683229814,0.8944099378881988
161,0.8765432098765432,1.0,0.9166666666666666,0.8950617283950617
162,0.8773006134969326,1.0,0.9171779141104295,0.8957055214723927
163,0.8780487804878049,1.0,0.9176829268292683,0.8963414634146342
164,0.8787878787878788,1.0,0.9181818181818182,0.896969696969697
165,0.8734939759036144,1.0,0.9186746987951807,0.8975903614457831
166,0.874251497005988,1.0,0.9131736526946108,0.8982035928143712
167,0.875,1.0,0.9107142857142857,0.8988095238095238
168,0.8757396449704142,1.0,0.9112426035502958,0.8994082840236687
169,0.8764705882352941,1.0,0.9117647058823529,0.8941176470588236
170,0.8771929824561403,1.0,0.9122807017543859,0.8947368421052632
171,0.877906976744186,1.0,0.9127906976744186,0.8953488372093024
172,0.8786127167630058,1.0,0.9132947976878613,0.8959537572254336
173,0.8793103448275862,1.0,0.9137931034482759,0.896551724137931
174,0.8742857142857143,1.0,0.9142857142857143,0.8971428571428571
175,0.875,1.0,0.9147727272727273,0.8977272727272727
176,0.8757062146892656,1.0,0.9152542372881356,0.8926553672316384
177,0.8764044943820225,1.0,0.9101123595505618,0.8932584269662921
178,0.8770949720670391,1.0,0.9078212290502793,0.8938547486033519
179,0.8777777777777778,1.0,0.9083333333333333,0.8944444444444445
180,0.8784530386740331,1.0,0.9088397790055248,0.8950276243093923
181,0.8791208791208791,1.0,0.9093406593406593,0.8956043956043956
182,0.8797814207650273,1.0,0.9098360655737705,0.8961748633879781
183,0.8804347826086957,1.0,0.9103260869565217,0.8967391304347826
184,0.8810810810810811,1.0,0.9108108108108108,0.8972972972972973
185,0.8763440860215054,1.0,0.9112903225806451,0.8978494623655914
186,0.8770053475935828,1.0,0.9117647058823529,0.8983957219251337
187,0.8776595744680851,1.0,0.9122340425531915,0.898936170212766
188,0.8783068783068783,1.0,0.9126984126984127,0.8994708994708994
